Timestamp,FPD-VCC_PSFP-Voltage,FPD-VCC_PSFP-Current,FPD-VCC_PSFP-Power,LPD-VCCO_502-Voltage,LPD-VCCO_502-Current,LPD-VCCO_502-Power,LPD-VCC_PSLP_CPM5-Voltage,LPD-VCC_PSLP_CPM5-Current,LPD-VCC_PSLP_CPM5-Power,PLD-VCCINT-Voltage,PLD-VCCINT-Current,PLD-VCCINT-Power,PLD-VCC_RAM_VCCINT_GT-Voltage,PLD-VCC_RAM_VCCINT_GT-Current,PLD-VCC_RAM_VCCINT_GT-Power,PLD-VCC1V5-Voltage,PLD-VCC1V5-Current,PLD-VCC1V5-Power,PLD-VCCO_HDIO_3V3-Voltage,PLD-VCCO_HDIO_3V3-Current,PLD-VCCO_HDIO_3V3-Power,PLD-VCC1V1_LP4-Voltage,PLD-VCC1V1_LP4-Current,PLD-VCC1V1_LP4-Power,PMC-VCC_PMC-Voltage,PMC-VCC_PMC-Current,PMC-VCC_PMC-Power,PMC-VCCO_MIO-Voltage,PMC-VCCO_MIO-Current,PMC-VCCO_MIO-Power,PMC-VCCAUX_PMC-Voltage,PMC-VCCAUX_PMC-Current,PMC-VCCAUX_PMC-Power,GTM-MGTAVCC-Voltage,GTM-MGTAVCC-Current,GTM-MGTAVCC-Power,GTM-MGTAVTT-Voltage,GTM-MGTAVTT-Current,GTM-MGTAVTT-Power,GTM-MGTVCCAUX-Voltage,GTM-MGTVCCAUX-Current,GTM-MGTVCCAUX-Power,GTY-LPDMGTYAVCC-Voltage,GTY-LPDMGTYAVCC-Current,GTY-LPDMGTYAVCC-Power,GTY-LPDMGTYAVTT-Voltage,GTY-LPDMGTYAVTT-Current,GTY-LPDMGTYAVTT-Power,GTY-LPDMGTYVCCAUX-Voltage,GTY-LPDMGTYVCCAUX-Current,GTY-LPDMGTYVCCAUX-Power,FMC-VADJ_FMC-Voltage,FMC-VADJ_FMC-Current,FMC-VADJ_FMC-Power,system-VCC_SOC-Voltage,system-VCC_SOC-Current,system-VCC_SOC-Power,system-VCCAUX-Voltage,system-VCCAUX-Current,system-VCCAUX-Power,system-TotalPower
2035-10-10 20:51:01.603094,0.8775,0.1799,0.1591,1.8013,0.009,0.0164,0.88,0.2874,0.2571,0.8087,2.9086,2.4484,0.7975,0.0416,0.0321,1.5012,0.0215,0.0321,3.3188,0.0121,0.0398,1.1013,1.105,1.2188,0.8788,0.1495,0.132,1.8,0.0115,0.0199,1.5012,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.001,0.0016,0.9188,0.0622,0.0551,1.2,0.005,0.0092,1.5,0.0005,0.0008,1.4988,0.0046,0.0092,0.8075,3.7352,3.0221,1.5,0.7876,1.1844,4.2065
2035-10-10 20:51:02.575981,0.8788,0.1799,0.1591,1.8013,0.009,0.0164,0.8788,0.2874,0.2571,0.8087,2.6589,2.2035,0.7988,0.0411,0.0321,1.5025,0.0211,0.0321,3.3175,0.0121,0.0398,1.1013,1.1,1.2188,0.8775,0.1495,0.132,1.8013,0.011,0.0199,1.5025,0.075,0.1125,0.9188,0.0601,0.0551,1.1938,0.01,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0581,1.2012,0.0046,0.0092,1.5,0.0005,0.0008,1.4988,0.0046,0.0092,0.8087,3.7306,3.003,1.5,0.7881,1.1844,4.1874
2035-10-10 20:51:03.575288,0.8775,0.1799,0.1561,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,2.9331,2.4484,0.7975,0.0416,0.0321,1.5012,0.0215,0.0321,3.3175,0.0121,0.0398,1.1013,1.1,1.2188,0.8775,0.15,0.1305,1.8013,0.0115,0.0199,1.5012,0.075,0.1133,0.9188,0.0607,0.0551,1.195,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0581,1.2012,0.0046,0.0092,1.5012,0.0005,0.0016,1.4988,0.004,0.0092,0.8087,3.7306,3.003,1.5,0.7881,1.1844,4.1874
2035-10-10 20:51:04.576852,0.8788,0.5024,0.4407,1.8013,0.009,0.0164,0.88,0.2883,0.2571,0.8087,2.3308,1.8363,0.7975,0.0416,0.0321,1.5025,0.0215,0.0321,3.3188,0.0121,0.0398,1.1013,1.1,1.2188,0.8788,0.15,0.132,1.8013,0.011,0.0199,1.5025,0.0755,0.1133,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.001,0.0016,0.9188,0.0632,0.0612,1.2012,0.0046,0.0092,1.5,0.001,0.0016,1.5,0.0046,0.0092,0.8075,3.7306,3.003,1.5,0.7876,1.1844,4.1874
2035-10-10 20:51:05.575163,0.8788,0.1804,0.1591,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,2.4826,1.9587,0.7988,0.0416,0.0321,1.5025,0.0215,0.0321,3.3188,0.0121,0.0398,1.1,1.11,1.2188,0.8788,0.15,0.132,1.8013,0.011,0.0199,1.5025,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.92,0.0627,0.0612,1.2025,0.0046,0.0092,1.5,0.0005,0.0016,1.5,0.0046,0.0092,0.8075,3.7199,3.003,1.5,0.7892,1.1844,4.1874
2035-10-10 20:51:06.575868,0.8788,0.2131,0.1683,1.8025,0.009,0.0164,0.88,0.2877,0.2571,0.8087,2.7324,2.2035,0.7975,0.0411,0.0321,1.5025,0.0215,0.0321,3.3188,0.0121,0.0398,1.1013,1.105,1.2188,0.8775,0.15,0.132,1.8,0.0115,0.0199,1.5025,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0551,1.2,0.0046,0.0092,1.5,0.0005,0.0016,1.4988,0.004,0.0092,0.8087,3.7153,3.003,1.5,0.7876,1.1813,4.1843
2035-10-10 20:51:07.577317,0.8788,0.183,0.1622,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,3.6334,2.938,0.7988,0.0416,0.0321,1.5025,0.0211,0.0321,3.3188,0.0121,0.0413,1.1013,1.1,1.2188,0.8788,0.1495,0.1313,1.8013,0.011,0.0199,1.5025,0.0755,0.1133,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0581,1.2,0.005,0.0092,1.5,0.0005,0.0016,1.4988,0.0046,0.0092,0.8087,3.7252,3.003,1.5,0.7876,1.1844,4.1874
2035-10-10 20:51:08.579159,0.8775,0.1971,0.1744,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,2.9821,2.4484,0.7975,0.0416,0.0321,1.5025,0.0215,0.0321,3.3188,0.0121,0.0398,1.1013,1.105,1.2188,0.8788,0.15,0.132,1.8013,0.0105,0.0199,1.5025,0.0755,0.1125,0.9188,0.0607,0.0551,1.1938,0.01,0.0156,1.505,0.0005,0.0016,0.9188,0.0632,0.0581,1.2,0.005,0.0092,1.5,0.0005,0.0008,1.4988,0.0046,0.0092,0.8075,3.7153,3.003,1.5,0.7892,1.1813,4.1843
2035-10-10 20:51:09.575827,0.8775,0.1799,0.1561,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,3.1829,2.5708,0.7988,0.0416,0.0321,1.5025,0.0215,0.0321,3.3175,0.0125,0.0398,1.1025,1.105,1.2188,0.8775,0.1495,0.1313,1.8013,0.011,0.0199,1.5012,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0551,1.2012,0.005,0.0092,1.5,0.0005,0.0016,1.5,0.004,0.0092,0.8087,3.7099,3.003,1.5,0.7881,1.1844,4.1874
2035-10-10 20:51:10.577547,0.8775,0.1955,0.1714,1.8013,0.009,0.0164,0.88,0.2877,0.2571,0.8087,3.1339,2.5708,0.7975,0.0416,0.0321,1.5012,0.0215,0.0321,3.3188,0.0121,0.0413,1.1013,1.1,1.2188,0.8775,0.15,0.132,1.8013,0.011,0.0199,1.5025,0.075,0.1133,0.92,0.0601,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0581,1.2,0.004,0.0092,1.5,0.0005,0.0016,1.5,0.0046,0.0092,0.8075,3.7153,3.003,1.5,0.7876,1.1844,4.1874
2035-10-10 20:51:11.576305,0.8788,0.1921,0.1683,1.8013,0.009,0.0164,0.88,0.2883,0.2571,0.8087,2.9821,2.3259,0.7975,0.0416,0.0321,1.5012,0.0215,0.0321,3.3188,0.0121,0.0398,1.1013,1.1,1.211,0.8788,0.15,0.132,1.8013,0.011,0.0199,1.5025,0.075,0.1133,0.9188,0.0607,0.0551,1.195,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0632,0.0612,1.2012,0.0046,0.0092,1.5,0.001,0.0016,1.5,0.0046,0.0092,0.8075,3.7252,3.003,1.5,0.7892,1.1844,4.1874
2035-10-10 20:51:12.576152,0.8775,0.1995,0.1775,1.8013,0.009,0.0164,0.88,0.2883,0.2571,0.8087,3.3836,2.8156,0.7975,0.0416,0.0321,1.5025,0.0211,0.0321,3.3188,0.0121,0.0398,1.1013,1.105,1.2188,0.8775,0.15,0.1313,1.8013,0.0115,0.0199,1.5025,0.0755,0.1133,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.001,0.0016,0.9188,0.0627,0.0581,1.2012,0.005,0.0092,1.5,0.0005,0.0008,1.4988,0.0046,0.0092,0.8075,3.7153,3.003,1.5,0.7881,1.1844,4.1874
2035-10-10 20:51:13.577743,0.8775,0.1799,0.1591,1.8013,0.009,0.0164,0.88,0.2883,0.2571,0.8087,3.0066,2.4484,0.7975,0.0421,0.0337,1.5025,0.0215,0.0321,3.3188,0.0121,0.0413,1.1013,1.1,1.211,0.8775,0.15,0.132,1.8013,0.011,0.0199,1.5025,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0,0.0016,0.9188,0.0622,0.0551,1.2,0.0046,0.0092,1.5012,0.0005,0.0016,1.4988,0.0046,0.0092,0.8087,3.7199,3.003,1.5,0.7881,1.1844,4.1874
2035-10-10 20:51:14.576059,0.8788,0.1804,0.1591,1.8025,0.009,0.0164,0.88,0.2883,0.2571,0.8087,2.4581,1.9587,0.7975,0.0416,0.0321,1.5012,0.0211,0.0321,3.3188,0.0121,0.0398,1.1013,1.1,1.2188,0.8775,0.1495,0.1313,1.8013,0.011,0.0199,1.5025,0.075,0.1125,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0008,0.9188,0.0627,0.0581,1.2012,0.0046,0.0092,1.5,0.001,0.0016,1.4988,0.0046,0.0092,0.8075,3.7252,3.003,1.5,0.7897,1.1844,4.1874
2035-10-10 20:51:15.576303,0.8788,0.182,0.1591,1.8013,0.009,0.0164,0.8788,0.2883,0.2571,0.8087,2.7079,2.2035,0.7975,0.0416,0.0321,1.5025,0.0211,0.0321,3.3188,0.0115,0.0383,1.1013,1.1,1.211,0.8775,0.15,0.1313,1.8013,0.011,0.0199,1.5025,0.075,0.1133,0.9188,0.0607,0.0551,1.1938,0.015,0.0156,1.505,0.0005,0.0016,0.9188,0.0627,0.0581,1.2,0.0046,0.0092,1.5,0.0005,0.0016,1.4988,0.004,0.0092,0.8087,3.7199,3.003,1.5,0.7892,1.1844,4.1874
